range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25066,25.065044,0.13386054,0.20671475,338.0,50790300,527,31,16027,1782510879.0111516
25063,25.062046,0.13384445,0.20669432,392.0,50768270,504,31,50037,1782510879.2105787
25076,25.07375,0.2877693,0.20678282,372.0,50684410,505,31,37706,1782510879.31345
25086,25.080887,0.30115315,0.4431497,406.0,50707290,431,30,59065,1782510879.7115111
25073,25.069265,0.14717762,0.4429387,417.0,50804410,453,30,49,1782510879.7115111
25084,25.080263,0.1472423,0.4431172,407.0,50792900,481,30,60004,1782510879.809499
25078,25.077045,0.13392495,0.20679642,366.0,50784340,549,31,33720,1782510880.7092638
25083,25.079264,0.14723642,0.443101,377.0,50833890,470,30,41173,1782510880.9141102
25079,25.075264,0.14721291,0.44303605,404.0,50781230,440,30,57620,1782510881.8091567
25078,25.072887,0.30105704,0.44301984,399.0,50722120,427,30,54516,1782510882.3130429
25126,25.125044,0.13418256,0.20712315,364.0,50819300,536,31,33411,1782510882.3130429
25122,25.121042,0.13416108,0.20709592,367.0,50810770,582,31,35615,1782510882.4092813
25084,25.078886,0.30112913,0.4431172,412.0,50694860,439,30,62750,1782510884.0109553
25086,25.082264,0.14725405,0.4431497,395.0,50770190,413,30,52240,1782510884.4079702
25092,25.086885,0.30122524,0.44324705,402.0,50654020,455,30,56537,1782510885.3111176
25101,25.095884,0.30133337,0.44339314,403.0,50722020,454,30,57354,1782510886.0098283
25087,25.083263,0.14725994,0.4431659,399.0,50860420,460,30,54516,1782510886.3139336
25074,25.06889,0.301009,0.4429549,409.0,50697330,461,30,61171,1782510886.9149573
25077,25.073265,0.14720115,0.4430036,411.0,50794410,402,30,62184,1782510886.9149573
25099,25.093884,0.30130935,0.4433607,391.0,50724410,445,30,49798,1782510887.5130804
25093,25.089262,0.1472952,0.4432633,378.0,50834390,452,30,41457,1782510888.1100967
25140,25.136255,0.1475715,0.44402614,418.0,50766370,460,30,2056,1782510889.517453
25139,25.133875,0.30178988,0.4440099,412.0,50732470,456,30,63806,1782510889.9120271
25061,25.060045,0.1338337,0.20668072,339.0,50824980,541,31,16502,1782510890.8111567
